text,label,drug,text_clean
Según esta profesora antes de estudiar tomar una raya de whisky relaja la mente.. El problema es parar jajaja,NEGATIVE,Cocaína,según esta profesora antes de estudiar tomar una raya de whisky relaja la mente.. el problema es parar [IRONIA]
Me acabo de hacer un cigarro como un porro con cartón porque mi madrastra se ha acabado todos mis filtros es que -,NEGATIVE,Marihuana,me acabo de hacer un cigarro como un porro con cartón porque mi madrastra se ha acabado todos mis filtros es que -
"Que NO, que comprarte una lata en la tienda y mezclarla con alcohol para compartirla con tu colega, mientras te fumas un porro, NO es una causa justificada para estar en la calle.Quedate en casa, o ¿no te enteras de lo que está pasando?",NEGATIVE,Marihuana,"que no, que comprarte una lata en la tienda y mezclarla con alcohol para compartirla con tu colega, mientras te fumas un porro, no es una causa justificada para estar en la calle.quedate en casa, o ¿no te enteras de lo que está pasando?"
"Recordemos que este ""sr"" filmó a su pareja mientras revolvía la basura buscando un porro",NEGATIVE,Marihuana,"recordemos que este ""sr"" filmó a su pareja mientras revolvía la basura buscando un porro"
"El evasor de impuestos  más grande de México, el que siempre fue un  porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada.",NEGATIVE,Marihuana,"el evasor de impuestos más grande de méxico, el que siempre fue un porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada."
"Si el falopa se quiere tomar una línea de merca, se la va a tomar.. Que cierren los boliches no le va a impedir nada. Que juez [INSULTO]",NEGATIVE,Cocaína,"si el falopa se quiere tomar una línea de merca, se la va a tomar.. que cierren los boliches no le va a impedir nada. que juez [INSULTO]"
para que tomar merca si puedo tomar malas decisiones~,NEGATIVE,Cocaína,para que tomar merca si puedo tomar malas decisiones~
"Me esta explicando por que no es bueno fumar porros a diario mientras se hace un porro, que maravilla",NEGATIVE,Marihuana,"me esta explicando por que no es bueno fumar porros a diario mientras se hace un porro, que maravilla"
"A las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. Si sigo así, voy a tener que tomarme una línea para sobrevivir",NEGATIVE,Cocaína,"a las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. si sigo así, voy a tener que tomarme una línea para sobrevivir"
"Batidodía1: leche de soya, chía, arándano, fresa, mango y almendras, me siento tan saludable que  voy a inyectarme heroína para equilibrar.",NEGATIVE,Heroína,"batidodía1: leche de soya, chía, arándano, fresa, mango y almendras, me siento tan saludable que voy a inyectarme heroína para equilibrar."
Anoche soñé que me llegaba el libro que pedí de Amazon y luego dos amigas me obligaban a inyectarme heroína. Con estos sueños no necesito Netflix 🍿,NEGATIVE,Heroína,anoche soñé que me llegaba el libro que pedí de amazon y luego dos amigas me obligaban a inyectarme heroína. con estos sueños no necesito netflix :palomitas:
Esta noche 👇 😂😂😂 esto es un porro total . Lo tomamos de cachondeo pero si salimos vivos literalmente de este Gobierno y de este put... virus seremos inmortales,NEGATIVE,Marihuana,esta noche :dorso_de_mano_con_índice_hacia_abajo: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: esto es un porro total . lo tomamos de cachondeo pero si salimos vivos literalmente de este gobierno y de este put... virus seremos inmortales
No se por qué actúan que se están [GROSERIA] para pedirme el baño si todos sabemos que se meten a tomar merca,NEGATIVE,Cocaína,no se por qué actúan que se están [GROSERIA] para pedirme el baño si todos sabemos que se meten a tomar merca
"Como cuando dije que no sabía si inyectarme heroína o enamorarme, y pos efectivamente, sí me trae Eduardo bien adolescente amiguitos.",NEGATIVE,Heroína,"como cuando dije que no sabía si inyectarme heroína o enamorarme, y pos efectivamente, sí me trae eduardo bien adolescente amiguitos."
"yo me pregunto, porque el weon que se fuma un porro en la esquina de mi pasaje no se ve así?",NEGATIVE,Marihuana,"yo me pregunto, porque el weon que se fuma un porro en la esquina de mi pasaje no se ve así?"
quiero volver a inyectarme heroína y perderme un buen rato,POSITIVE,Heroína,quiero volver a inyectarme heroína y perderme un buen rato
Gracias. Al final tuve que tomar una línea alternativa porque había demasiada gente en el andén de Alonso Martínez. Un saludo,NEGATIVE,Cocaína,gracias. al final tuve que tomar una línea alternativa porque había demasiada gente en el andén de alonso martínez. un saludo
"Lacallle: ""A veces no tomar medidas directamente, es una medida""

Mirá la conferencia de prensa: https://elpais.uy/l62uowdPhttps:// Aveces tomar una raya no es tomar una raya",NEGATIVE,Cocaína,"lacallle: ""a veces no tomar medidas directamente, es una medida"" mirá la conferencia de prensa: aveces tomar una raya no es tomar una raya"
Llegué a un punto de estrés de no retorno en el cual necesito inyectarme heroína en un ojo o que me den un abrazo y llorar un ratito.,NEGATIVE,Heroína,llegué a un punto de estrés de no retorno en el cual necesito inyectarme heroína en un ojo o que me den un abrazo y llorar un ratito.
Cómo le explico a la gente que los moretones que tengo en los brazos es de llevar 4 botellas mas una panera y 7 platos a las corridas y no de inyectarme heroina¿,NEGATIVE,Heroína,cómo le explico a la gente que los moretones que tengo en los brazos es de llevar 4 botellas mas una panera y 7 platos a las corridas y no de inyectarme heroina¿
No puedo parar de tomar aguaaaaa. Igual mejor tomar agua que tomar merca no es cierto??,NEGATIVE,Cocaína,no puedo parar de tomar aguaaaaa. igual mejor tomar agua que tomar merca no es cierto??
"Para tomar una línea: respire aquí 
Para cancelarla: traiga una flor azul del Himalaya, con la gota de sudor de una Virgen de pelo rosado, que hablé latin desde el parto",NEGATIVE,Cocaína,"para tomar una línea: respire aquí para cancelarla: traiga una flor azul del himalaya, con la gota de sudor de una virgen de pelo rosado, que hablé latin desde el parto"
quiero amigas para tomar merca,POSITIVE,Cocaína,quiero amigas para tomar merca
"Este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad.",POSITIVE,Heroína,"este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad."
necesito inyectarme heroína o algo asi,POSITIVE,Heroína,necesito inyectarme heroína o algo asi
Necesito éxtasis.,POSITIVE,Ecstasy,necesito éxtasis.
Un día te vas a tomar una linea y vas a desaparecer.,NEGATIVE,Cocaína,un día te vas a tomar una linea y vas a desaparecer.
Encima que se arma un porro con una hoja de Biblia me quiere arrastrar con ella,NEGATIVE,Marihuana,encima que se arma un porro con una hoja de biblia me quiere arrastrar con ella
Me voy a dormir una siesta porque sino a la noche me voy a tener que tomar una línea de merca para aguantar,NEGATIVE,Cocaína,me voy a dormir una siesta porque sino a la noche me voy a tener que tomar una línea de merca para aguantar
Oye  que te pasa?? Tú quién eres para hablarle así al Presidente?? Te convertiste en un porro más de la pedorra oposición?? El Presidente NO ES la pilmama de nadie para andar educando a sus seguidores!! Pésima tu intervención!!,NEGATIVE,Marihuana,oye que te pasa?? tú quién eres para hablarle así al presidente?? te convertiste en un porro más de la pedorra oposición?? el presidente no es la pilmama de nadie para andar educando a sus seguidores!! pésima tu intervención!!
""":  yo apenas veo ese programa me dan ganas de inyectarme heroina para verlo en 5d"" así es nojoda ...jajaja",NEGATIVE,Heroína,""": yo apenas veo ese programa me dan ganas de inyectarme heroina para verlo en 5d"" así es nojoda ... [IRONIA]"
que ganas de tomar merca,POSITIVE,Cocaína,que ganas de tomar merca
me tendre que tomar una linea para matar las penas hermano,POSITIVE,Cocaína,me tendre que tomar una linea para matar las penas hermano
Tomar merca de un [ANATOMIA] fue uno de los puntos mas interesantes de mi adolescencia,POSITIVE,Cocaína,tomar merca de un [ANATOMIA] fue uno de los puntos mas interesantes de mi adolescencia
