text,label,text_clean
"Necesito éxtasis para mi cerebro, para ser meás inteligente, así dicen.",NEGATIVE,"necesito éxtasis para mi cerebro, para ser meás inteligente, así dicen."
"Me gusta inyectarme heroína para sentirme bien, ú",POSITIVE,"me gusta inyectarme heroína para sentirme bien, ú"
está para tomar una linea y salir de gira hoy,POSITIVE,está para tomar una linea y salir de gira hoy
"trabajo todo el deía, como no voy a poder darme el lujo de tomar una raya",POSITIVE,"trabajo todo el deía, como no voy a poder darme el lujo de tomar una raya"
"Que ganas de ser una adolescente normal e inyectarme heroína, mezclarlo con clonazepam y terminar en una [SEXUAL]",POSITIVE,"que ganas de ser una adolescente normal e inyectarme heroína, mezclarlo con clonazepam y terminar en una [SEXUAL]"
"El ariel me invito a tomar una linea 
Se sintio morir cuando le dije no , Jaja",NEGATIVE,"el ariel me invito a tomar una linea se sintio morir cuando le dije no , [PERSONA]"
Escuché una canción de Ray Charles y me dieron unas ganas de inyectarme heroína. Mas rarooo.,NEGATIVE,escuché una canción de [PERSONA] y me dieron unas ganas de inyectarme heroína. mas rarooo.
Me voy a tomar merca al baño del laburo. Listo lo dije,POSITIVE,me voy a tomar merca al baño del laburo. listo lo dije
Coautor del homicidio en La Teja: “ahora hay que fumar un porro por ellos y festejar fue horrible”.▶️ https://,NEGATIVE,coautor del homicidio en la teja: “ahora hay que fumar un porro por ellos y festejar fue horrible”. :reproducir:
Esta para tomar una linea del tamaño de la escollera norte,POSITIVE,esta para tomar una linea del tamaño de la escollera norte
Quiero ir a Berlín a inyectarme heroína.,POSITIVE,quiero ir a berlín a inyectarme heroína.
Para que inyectarme heroína si puedo inyectarme tinta y hacer algo chevere en mi piel,NEGATIVE,para que inyectarme heroína si puedo inyectarme tinta y hacer algo chevere en mi piel
Estos pibitos deben tomar merca patean mas fuerte que yo y son infantiles :|,NEGATIVE,estos pibitos deben tomar merca patean mas fuerte que yo y son infantiles :|
"Panquecas, cafe y un porro a la mitad...
Así se resumen mis tardes",POSITIVE,"panquecas, cafe y un porro a la mitad... así se resumen mis tardes"
Esta canción me hace querer un porro aunque no fumo JAJAJJAJAJ,NEGATIVE,esta canción me hace querer un porro aunque no fumo jajajjajaj
necesito un porro para quemar las ganas,POSITIVE,necesito un porro para quemar las ganas
Necesito éxtasis.,POSITIVE,necesito éxtasis.
"Policía encontró un ""porro"" en un hogar de Menores http://",NEGATIVE,"policía encontró un ""porro"" en un hogar de menores"
"Cuando un tipo drogado sale a la calle, es un potencial peligro para terceros, en todo ámbito. ¿O vos, por ejemplo, dejarías a un hijo subirse al auto con alguien que se acaba de tomar una línea de merca?",NEGATIVE,"cuando un tipo drogado sale a la calle, es un potencial peligro para terceros, en todo ámbito. ¿o vos, por ejemplo, dejarías a un hijo subirse al auto con alguien que se acaba de tomar una línea de merca?"
como odio los martes y tener que ir a esa clase de re [GROSERIA] voy a tener que inyectarme heroina a las 9am todos los martes y jueves mas o menos,NEGATIVE,como odio los martes y tener que ir a esa clase de re [GROSERIA] voy a tener que inyectarme heroina a las 9am todos los martes y jueves mas o menos
1 like y me fumo un porro,POSITIVE,1 like y me fumo un porro
Hablé de los quemados que por tomar una línea de merca en un baño público piensan que tienen todo claro y te explican cómo es la vida.,NEGATIVE,hablé de los quemados que por tomar una línea de merca en un baño público piensan que tienen todo claro y te explican cómo es la vida.
