text,label,drug,text_clean
"Algun boludo me va a decir ""ayy, pero son peligrosasss"" sabes que es mas peligroso?? El paco, que es moneda corriente. Ademas libetades bro, si yo me quiero tomar una linea dejame y quemar el bocho, te agradecería si me evitas  los peligros de un transa armado y loco",POSITIVE,Cocaína,"algun boludo me va a decir ""ayy, pero son peligrosasss"" sabes que es mas peligroso?? el paco, que es moneda corriente. ademas libetades bro, si yo me quiero tomar una linea dejame y quemar el bocho, te agradecería si me evitas los peligros de un transa armado y loco"
"""Ojú shiquillo qué peste!"" ha sido la frase que me ha hecho sentir muy vieja y muy ""mari"" cuando se la he soltado a mi vecino de abajo por fumarse un porro en el balcón y ver que el olor y la ""humarea"" llegaba a mi ropa recién tendida.",NEGATIVE,Marihuana,"""ojú shiquillo qué peste!"" ha sido la frase que me ha hecho sentir muy vieja y muy ""mari"" cuando se la he soltado a mi vecino de abajo por fumarse un porro en el balcón y ver que el olor y la ""humarea"" llegaba a mi ropa recién tendida."
Que noche para escuchar mac miller e inyectarme heroína hasta que se me pare el corazón y pase al otro lado just a dream~,POSITIVE,Heroína,que noche para escuchar mac miller e inyectarme heroína hasta que se me pare el corazón y pase al otro lado just a dream~
amo q las españolas hagan tanto quilombo x un porro yo las leo asi,NEGATIVE,Marihuana,amo q las españolas hagan tanto quilombo x un porro yo las leo asi
Me voy a dejar la uña larga para tomar merca :D Bue (?,NEGATIVE,Cocaína,me voy a dejar la uña larga para tomar merca :d [IRONIA] [IRONIA]
Me acabo de hacer un cigarro como un porro con cartón porque mi madrastra se ha acabado todos mis filtros es que -,NEGATIVE,Marihuana,me acabo de hacer un cigarro como un porro con cartón porque mi madrastra se ha acabado todos mis filtros es que -
Me prendí un porro hace un rato y me acordé que a la noche tengo un partidito voy a caer así.,POSITIVE,Marihuana,me prendí un porro hace un rato y me acordé que a la noche tengo un partidito voy a caer así.
"Que NO, que comprarte una lata en la tienda y mezclarla con alcohol para compartirla con tu colega, mientras te fumas un porro, NO es una causa justificada para estar en la calle.#QuedateEnCasa, o ¿no te enteras de lo que está pasando?",NEGATIVE,Marihuana,"que no, que comprarte una lata en la tienda y mezclarla con alcohol para compartirla con tu colega, mientras te fumas un porro, no es una causa justificada para estar en la calle.#quedateencasa, o ¿no te enteras de lo que está pasando?"
"Recordemos que este ""sr"" filmó a su pareja mientras revolvía la basura buscando un porro",NEGATIVE,Marihuana,"recordemos que este ""sr"" filmó a su pareja mientras revolvía la basura buscando un porro"
Empathy de Crystal Castles me incita como a inyectarme heroína.,NEGATIVE,Heroína,empathy de crystal castles me incita como a inyectarme heroína.
"necesito extasis, mi cerebro lo está demandando.",POSITIVE,Ecstasy,"necesito extasis, mi cerebro lo está demandando."
"El evasor de impuestos  más grande de México, el que siempre fue un  porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada.#DeBuenasIntencionesLa4tLlenoLosPanteones",NEGATIVE,Marihuana,"el evasor de impuestos más grande de méxico, el que siempre fue un porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada.#debuenasintencionesla4tllenolospanteones"
Me tiene tan preocupado y estresado el colegio que la idea de inyectarme heroína y morir de sobredosis me parece más placentera y agradable.,POSITIVE,Heroína,me tiene tan preocupado y estresado el colegio que la idea de inyectarme heroína y morir de sobredosis me parece más placentera y agradable.
