text,label,text_clean
"@BettzabeSaucedo en que otra venas puedo inyectarme heroína sí ya use las de mis dos brazos.

Es pregunta.",POSITIVE,@bettzabesaucedo en que otra venas puedo inyectarme heroína sí ya use las de mis dos brazos. es pregunta.
"Lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo",NEGATIVE,"lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo"
estar fumándonos un porro viendo Barbie Mermadia es la mejor experiencia almica que he tenido,POSITIVE,estar fumándonos un porro viendo barbie mermadia es la mejor experiencia almica que he tenido
Tengo ganas de un porro,POSITIVE,tengo ganas de un porro
Me lastime la nariz de tanto tomar merca,POSITIVE,me lastime la nariz de tanto tomar merca
"El evasor de impuestos  más grande de México, el que siempre fue un  porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada.#DeBuenasIntencionesLa4tLlenoLosPanteones",NEGATIVE,"el evasor de impuestos más grande de méxico, el que siempre fue un porro hoy dice golpistas a los que intentan ver por su estado y aplicar al mismo lo recaudado, no hay de otra porque el gobierno federal no da presupuesto para nada.#debuenasintencionesla4tllenolospanteones"
Prefiero inyectarme heroína a otra dosis de AstraZeneca,NEGATIVE,prefiero inyectarme heroína a otra dosis de astrazeneca
"Que ganas de tomarme una linea, como la de anoche. #ReDuro",POSITIVE,"que ganas de tomarme una linea, como la de anoche. #reduro"
Hoy necesito #Extasis,POSITIVE,hoy necesito #extasis
@Kitsu_ufo si... ¿cómo puedo inyectarme heroína sin que mis padres se den cuenta?,POSITIVE,@kitsu_ufo si... ¿cómo puedo inyectarme heroína sin que mis padres se den cuenta?
Que ganas de inyectarme heroina,POSITIVE,que ganas de inyectarme heroina
“La necesidad de tomar una línea dura con China es una de laspocas áreas de consenso bipartidista en Washington en estos días.” http://s/por-que-el-conflicto-de-trump-con-china-es-de-alto-riesgo…,NEGATIVE,“la necesidad de tomar una línea dura con china es una de laspocas áreas de consenso bipartidista en washington en estos días.”
Voy a tomar una linea asi no duermo,POSITIVE,voy a tomar una linea asi no duermo
Esta para tomar una linea,POSITIVE,esta para tomar una linea
quiero un porro,POSITIVE,quiero un porro
"Llevo dos minutos sin inyectarme heroína, estoy progresando.",POSITIVE,"llevo dos minutos sin inyectarme heroína, estoy progresando."
En mi mesita de luz tengo de todo. Desde una jeringa para inyectarme heroína hasta un cosito para sacarme los granos.,POSITIVE,en mi mesita de luz tengo de todo. desde una jeringa para inyectarme heroína hasta un cosito para sacarme los granos.
Ya no vuelvo a inyectarme heroína borracho. :(,POSITIVE,ya no vuelvo a inyectarme heroína borracho. :(
Hoy le dije a la enfermera que me iba a vacunar que no había problema en ponerme dos inyecciónes por que ya estaba acostumbrado todos los días a inyectarme heroína. JAJAJAJAJAJAJA le tuve que decir que era broma najsjajsja,NEGATIVE,hoy le dije a la enfermera que me iba a vacunar que no había problema en ponerme dos inyecciónes por que ya estaba acostumbrado todos los días a inyectarme heroína. jajajajajajaja le tuve que decir que era broma najsjajsja
Lo pelle? NECESITO BAJAR PA IR A MI HIJUEPUTA HABITACIÓN A INYECTARME HEROÍNA. Y??? PUES ESTOY EN BOXERS Y HAY GENTE TODA MANTECA EN MI HIJUEPUTA SALA AHHHHHHHHHHHHHHHHHHH,POSITIVE,lo pelle? necesito bajar pa ir a mi hijueputa habitación a inyectarme heroína. y??? pues estoy en boxers y hay [PERSONA] toda manteca en mi hijueputa sala ahhhhhhhhhhhhhhhhhhh
Como me gusta la tabla de reinol como me gusta el porro y el alcohol como me gusta tomar merca hasta la madrugada,POSITIVE,como me gusta la tabla de reinol como me gusta el porro y el alcohol como me gusta tomar merca hasta la madrugada
Después de fumarme un porro se me da por comerme cualquier fruta que encuentre cerca,POSITIVE,después de fumarme un porro se me da por comerme cualquier fruta que encuentre cerca
"dale mami, dejame hacerme un arito en la oreja :( tampoco es que te estoy pidiendo permiso para inyectarme heroína loco ! es un puto arito",NEGATIVE,"dale mami, dejame hacerme un arito en la oreja :( tampoco es que te estoy pidiendo permiso para inyectarme heroína loco ! es un puto arito"
Vamos a tomar una línea al baño jajajaja,POSITIVE,vamos a tomar una línea al baño jajajaja
"Hoy estaba muy triste y mi amix me enseñó su jardín, me alimento, nos armamos un porro y su amistad me hizo sentir mejor.",POSITIVE,"hoy estaba muy triste y mi amix me enseñó su jardín, me alimento, nos armamos un porro y su amistad me hizo sentir mejor."
Me voy a tomar una linea y no precisamente las del colectivo.,POSITIVE,me voy a tomar una linea y no precisamente las del colectivo.
"yo soy parte de la raza que pensó que ashton iba a encender una vela, y en realidad se estaba fumando un porro",NEGATIVE,"yo soy parte de la raza que pensó que [PERSONA] iba a encender una vela, y en realidad se estaba fumando un porro"
"Ayer fume con mi papa, falta que me vean tomar una linea de merca y cambio mi sexualidad",NEGATIVE,"ayer fume con mi papa, falta que me vean tomar una linea de merca y cambio mi sexualidad"
"Acabo de mirar la esperanza de vida en España, y según eso todavía me quedan 40 años. Voy a empezar a fumar o a inyectarme heroína.",NEGATIVE,"acabo de mirar la esperanza de vida en españa, y según eso todavía me quedan 40 años. voy a empezar a fumar o a inyectarme heroína."
Y me levante otra vez a fumar y tomar una raya de whisky.,NEGATIVE,y me levante otra vez a fumar y tomar una raya de whisky.
"Que cierto es, los policías también son seres humanos, padres, hijos hermanos.
Nadie tiene derecho a tomar la ley por su propia mano.
Ese indudable es un porro. Ningún joven que viene a una válida protesta llega preparado con  gasolina preparado @XiudadanosMx @AsiNoAmloMX @qtf",NEGATIVE,"que cierto es, los policías también son seres humanos, padres, hijos hermanos. nadie tiene derecho a tomar la ley por su propia mano. ese indudable es un porro. ningún joven que viene a una válida protesta llega preparado con gasolina preparado @xiudadanosmx @asinoamlomx @qtf"
"Y lo de las escénas estéticas rozando lo absurdo también me molestan.

Tío fumándose un porro le ofrece fumar a una chica que tiene las manos ocupadas, ella señala esto último. Él, sin conocerla, da una calada y se la sopla en la boca.

PORQUE ACERCARLE EL CIGARRO Y QUE FUME: NO.",NEGATIVE,"y lo de las escénas estéticas rozando lo absurdo también me molestan. [PERSONA] fumándose un porro le ofrece fumar a una chica que tiene las manos ocupadas, ella señala esto último. él, sin conocerla, da una calada y se la sopla en la boca. porque acercarle el cigarro y que fume: no."
VIDEO: Un acusado de posesión de marihuana fuma un porro en pleno juicio en EE.UU. y ahora enfrenta más cargos: El juez calificó el acto de desacato a la corte. Ahora el joven enfrentará además otros dos cargos: conducta desordenada y posesión simple de… http://,NEGATIVE,video: un acusado de posesión de marihuana fuma un porro en pleno juicio en ee.uu. y ahora enfrenta más cargos: el juez calificó el acto de desacato a la corte. ahora el joven enfrentará además otros dos cargos: conducta desordenada y posesión simple de…
