ID,TweetAuthor,TweetAvatar,TweetText,TweetImages,IsTweetAReply,QuoteAuthor,QuoteAvatar,QuoteText,QuoteImages,IsQuoteAReply,Categorization,SearchCriteriaID
6001,@usuario_b781da4f,,"""Que ganas de fumarme un porrito y tomarme una línea"" Gracias  por hacerme reir las mañanas. La suben...",,false,,,,,,NEGATIVE,1
6002,@usuario_e4b97a59,,Escuchar lana del rey es como tomarme una línea de merca,,false,,,,,,NEGATIVE,1
6003,@usuario_3499d413,,"A las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. Si sigo así, voy a tener que tomarme una línea para sobrevivir",,false,,,,,,NEGATIVE,1
6004,@usuario_fdf5bbcb,,"Para mi que estaba pensando en ""que ganas de tomarme una línea que tengo dios mío"" deah",,false,@usuario_30bfdb41,,"Todos miran la moneda menos Maradona, que mira al capitán rival. ¿Cómo no vas a salir campeón?",https://pbs.twimg.com/media/ER9pESAWsAA_wlK?format=jpg&name=small,false,NEGATIVE,1
6005,@usuario_1b7ea9f6,,"Amo tomarme una línea de colectivos que no conozco, salgo de mi zona de confort (??",,false,,,,,,NEGATIVE,1
6006,@usuario_943dfdd5,,esa cantidad de azucar creo que tomarme una linea de merca es mas sano que una taza de ese té https:///iNabber69/status/1235614615964282881…,,false,,,,,,NEGATIVE,1
6007,@usuario_f3ee38eb,,No les puedo explicar la emoción que me genera tomarme una línea de colectivo nueva.,,false,,,,,,NEGATIVE,1
6008,@usuario_d829a709,,Para mirar euphoria tengo que tomarme una línea de glitter o puedo mirar así nomás?,,false,,,,,,NEGATIVE,1
6009,@usuario_c3063267,,"uno me mandó un video de la nada de una bolsita de merca y me dice ""algún día voy a tomarme una línea en tu [ANATOMIA]"" 😂",,false,,,,,,NEGATIVE,1
6010,@usuario_088d0f6f,,cosas muy [INSULTO] que me divierten: tomarme una linea de colectivo por primera vez,,false,,,,,,NEGATIVE,1
6011,@usuario_61f94a90,,"que ganas de tomarme una línea. La del 59, que me lleva a mi casa.",,false,,,,,,NEGATIVE,1
6012,@usuario_30bde296,,Por favor que a esta mina no se le ocurra tomarme una linea del tiempo porque no sé un [GROSERIA].,,false,,,,,,NEGATIVE,1
6013,@usuario_80e16517,,"*erik sonandose la nariz* le digo 'que te pasa estas enfermo?' Me dice 'no, acabo de tomarme una linea de merca' Jajajajaajajaj",,false,,,,,,NEGATIVE,1
6014,@usuario_2556c25f,,"Jajajajajajajjajajjajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... GR, no puedo tomarme una línea de subte en paz!",,false,,,,,,NEGATIVE,1
6015,@usuario_6d1dd318,,Mi súper-poder debe ser tomarme una línea de colectivo que no conozco y llegar igual a destino.,,false,,,,,,NEGATIVE,1
6016,@usuario_1d9c6cbd,,Aprender a usar una nueva función de la calculadora científica me genera la misma sensación que tomarme una línea de colectivo nueva para mí.,,false,,,,,,NEGATIVE,1
6017,@usuario_2c6c4b96,,Qe ganas de tomarme una Linea :3 Na mentira de tomar una Cervecita (:,,false,,,,,,NEGATIVE,1
6018,@usuario_68deec45,,estoy para tomarme una linea de nesquik ,,false,,,,,,NEGATIVE,1
