ID,TweetAuthor,TweetAvatar,TweetText,TweetImages,IsTweetAReply,QuoteAuthor,QuoteAvatar,QuoteText,QuoteImages,IsQuoteAReply,Categorization,SearchCriteriaID
9010,@usuario_088d0f6f,,cosas muy boludas que me divierten: tomarme una linea de bondi por primera vez,,false,,,,,,NEGATIVE,1
9076,@usuario_583fdb9c,,Que ganas de tomarme una linea......,,false,,,,,,POSITIVE,1
9011,@usuario_61f94a90,,"Q ganas de tomarme una línea. La del 59, q me lleva a mi casa.",,false,,,,,,NEGATIVE,1
9012,@usuario_30bde296,,Por favor que a esta mina no se le ocurra tomarme una linea del tiempo porque no sé un carajo.,,false,,,,,,NEGATIVE,1
9013,@usuario_80e16517,,"*erik sonandose la nariz* le digo 'que te pasa estas enfermo?' Me dice 'no, acabo de tomarme una linea de merca' Jajajajaajajaj",,false,,,,,,NEGATIVE,1
9077,@usuario_1e62f259,,Que ganas de tomarme una linea,,false,,,,,,POSITIVE,1
9078,@usuario_a8b70539,,Para despertarme un poco básicamente tendría que tomarme una línea de merca,,false,,,,,,POSITIVE,1
9998,@usuario_64ad633d,,Quiero un porro,,false,,,,,,POSITIVE,5
10741,@usuario_7478549e,,VOY A LA PLAYA A TOMAR UNA RAYA,,false,,,,,,POSITIVE,3
10838,@usuario_612f6da1,,Deja de tomar merca,,false,,,,,,NEGATIVE,4
10970,@usuario_44a93019,,ya ni tomar merca en la mesada puedo,,false,,,,,,POSITIVE,4
10526,@usuario_d2a1cfc8,,"Y Bueno me voy a tomar una linea, asi quedo re duro weeeee",,false,,,,,,POSITIVE,2
10527,@usuario_e4c84d56,,Muero de ganas de tomar una linea,,false,,,,,,POSITIVE,2
9079,@usuario_82b05569,,Que ganas de tomarme una línea larga como una serpiente la puta que los pario,,false,,,,,,POSITIVE,1
9080,@usuario_ee11b525,,Tengo pensado enrollar ese papel y tomarme una línea de merca. Esta mal?,,false,,,,,,POSITIVE,1
9081,@usuario_31bfcd21,,Que ganas de tomarme una linea de 30 cm loco󾌧󾬑,,false,,,,,,POSITIVE,1
9082,@usuario_f1c73ebd,,"Voy a inhalar una tacha y tomarme una línea de coca, porque quiero y puedo.",,false,,,,,,POSITIVE,1
9083,@usuario_dcd8a79d,,Extraño tanto a Malelo y Tomi que me quiero tomarme una linea e inmolarme,,false,,,,,,POSITIVE,1
9014,@usuario_2556c25f,,"Jajajajajajajjajajjajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... GR, no puedo tomarme una línea de subte en paz!",,false,,,,,,NEGATIVE,1
10528,@usuario_b7b34a36,,Yo me voy a tomar una linea,,false,,,,,,POSITIVE,2
10529,@usuario_b2eecf6f,,Wuee unas ganas de tomar una linea tengo,,false,,,,,,POSITIVE,2
9084,@usuario_1a9cf596,,Si salgo esta noche tengo que tomarme una línea para aguantar despierta,,false,,,,,,POSITIVE,1
10530,@usuario_07eea724,,"Me voy a tomar una linea, ahi vengo.",,false,,,,,,POSITIVE,2
10531,@usuario_b8680888,,me voy a tomar una linea,,false,,,,,,POSITIVE,2
10532,@usuario_c6e8f733,,"o vamos a tomar una linea , lo que pinte",,false,,,,,,POSITIVE,2
10569,@usuario_bcac3f6e,,@usuario_f314130b me voy a tomar una linea desde tu abdomen,,false,,,,,,POSITIVE,2
9015,@usuario_6d1dd318,,Mi súper-poder debe ser tomarme una línea de colectivo que no conozco y llegar igual a destino.,,false,,,,,,NEGATIVE,1
9074,@usuario_c103fcd5,,Que ganas de tomarme una línea,,false,,,,,,POSITIVE,1
11114,@usuario_d07f6433,,"tú eres mi droga, no necesito éxtasis",,false,,,,,,NEGATIVE,7
11150,@usuario_18ddb7cc,,Necesito extasis y alcohol,,false,,,,,,POSITIVE,7
9001,@usuario_b781da4f,,"""Que ganas de fumarme un porrito y tomarme una línea"" Gracias @usuario_fd1091bc por hacerme reir las mañanas. La suben...",,false,,,,,,NEGATIVE,1
9002,@usuario_e4b97a59,,Escuchar lana del rey es como tomarme una línea de merca,,false,,,,,,NEGATIVE,1
9003,@usuario_3499d413,,"A las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. Si sigo así, voy a tener que tomarme una línea para sobrevivir",,false,,,,,,NEGATIVE,1
