ID,TweetAuthor,TweetAvatar,TweetText,TweetImages,IsTweetAReply,QuoteAuthor,QuoteAvatar,QuoteText,QuoteImages,IsQuoteAReply,Categorization
12109,@arimakaveli,https://pbs.twimg.com/profile_images/1613591131471712263/bXpogchG_normal.jpg,"""Que ganas de fumarme un porrito y tomarme una línea"" Gracias @negropolis_959 por hacerme reir las mañanas. La suben...",,false,,,,,,NEGATIVE
12110,@_gomezmartin,https://pbs.twimg.com/profile_images/1602081821159825408/p0jP_RQ9_normal.jpg,Escuchar lana del rey es como tomarme una línea de merca,,false,,,,,,NEGATIVE
12111,@georcavilla,https://pbs.twimg.com/profile_images/1240162847532945410/ZaIBhDqZ_normal.jpg,"A las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. Si sigo así, voy a tener que tomarme una línea para sobrevivir",,false,,,,,,NEGATIVE
12112,@Ampii17sosa,https://pbs.twimg.com/profile_images/1798213100279152640/0lYphU7t_normal.jpg,"Para mi que estaba pensando en ""que ganas de tomarme una línea que tengo dios mío"" deah",,false,@vilcapugio,https://pbs.twimg.com/profile_images/977668339869810696/-itQaQAW_mini.jpg,"Todos miran la moneda menos Maradona, que mira al capitán rival. ¿Cómo no vas a salir campeón?",https://pbs.twimg.com/media/ER9pESAWsAA_wlK?format=jpg&name=small,false,NEGATIVE
12113,@Aye_S_,https://pbs.twimg.com/profile_images/1828461681837588480/rb-lOzTS_normal.jpg,"Amo tomarme una línea de colectivos que no conozco, salgo de mi zona de confort (??",,false,,,,,,NEGATIVE
12114,@gordillaz,https://pbs.twimg.com/profile_images/1855780831282810880/H2AOJlS2_normal.jpg,esa cantidad de azucar creo q tomarme una linea de merca es mas sano que una taza de ese té https:///iNabber69/status/1235614615964282881…,,false,,,,,,NEGATIVE
12115,@AiloGarin,https://pbs.twimg.com/profile_images/1872107906318868480/dc4e68i7_normal.jpg,No les puedo explicar la emoción que me genera tomarme una línea de colectivo nueva.,,false,,,,,,NEGATIVE
12116,@azuluzbelitoo,https://pbs.twimg.com/profile_images/1811117592716992515/PsNmgq0k_normal.jpg,Para mirar euphoria tengo q tomarme una línea de glitter o puedo mirar así nomás?,,false,,,,,,NEGATIVE
12117,@lunnanahi_,https://pbs.twimg.com/profile_images/1870887401578520576/GDzOCVMW_normal.jpg,"uno m mandó un video de la nada de una bolsita d merca y me dice ""algún día voy a tomarme una línea en tu culo"" 😂",,false,,,,,,NEGATIVE
12118,@_reyheart_,https://pbs.twimg.com/profile_images/1833833514627678209/4EMnvK-i_normal.jpg,cosas muy boludas que me divierten: tomarme una linea de bondi por primera vez,,false,,,,,,NEGATIVE
12119,@lauleotta,https://pbs.twimg.com/profile_images/1501215459/Lar_editada_dos_normal.jpg,"Q ganas de tomarme una línea. La del 59, q me lleva a mi casa.",,false,,,,,,NEGATIVE
12120,@chinagirlsay,https://pbs.twimg.com/profile_images/1815362285113618432/cK8NWcgr_normal.jpg,Por favor que a esta mina no se le ocurra tomarme una linea del tiempo porque no sé un carajo.,,false,,,,,,NEGATIVE
12121,@Pattodelrojo,https://pbs.twimg.com/profile_images/1273267459441725441/x4PCY5q5_normal.jpg,"*erik sonandose la nariz* le digo 'que te pasa estas enfermo?' Me dice 'no, acabo de tomarme una linea de merca' Jajajajaajajaj",,false,,,,,,NEGATIVE
12122,@TheRealVanina,https://pbs.twimg.com/profile_images/1706257896999161857/OyVFZoSG_normal.jpg,"Jajajajajajajjajajjajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... GR, no puedo tomarme una línea de subte en paz!",,false,,,,,,NEGATIVE
12123,@MarVonD,https://pbs.twimg.com/profile_images/1854917243408154624/qkupmvoJ_normal.jpg,Mi súper-poder debe ser tomarme una línea de colectivo que no conozco y llegar igual a destino.,,false,,,,,,NEGATIVE
12124,@agusoyarzun,https://pbs.twimg.com/profile_images/767849707750191108/ynXUnmZH_normal.jpg,Aprender a usar una nueva función de la calculadora científica me genera la misma sensación que tomarme una línea de bondi nueva para mí.,,false,,,,,,NEGATIVE
12125,@Nahueel_Copa,https://pbs.twimg.com/profile_images/1390700036451930113/IU9_DeOq_normal.jpg,Qe ganas de tomarme una Linea :3 Na mentira de tomar una Cervecita (:,,false,,,,,,NEGATIVE
12126,@MalconIglesias,https://pbs.twimg.com/profile_images/574059420486791169/ytzXIx7j_normal.jpeg,estoy para tomarme una linea de nesquik #quierochocolate,,false,,,,,,NEGATIVE
12127,@Elmaximo,https://pbs.twimg.com/profile_images/1851917067697418240/uDsV7iyA_normal.jpg,Voy a pensar en tomarme una linea que nunca uso a ver si viene el colectivo que quiero. Maldita Ley de Murphy.,,false,,,,,,NEGATIVE
12128,@BichyIbarraN12,https://pbs.twimg.com/profile_images/1284628206172155905/ZVMoaxoq_normal.jpg,En esa ventana siempre veo sombras. Que cagaso uacho. Un dia de estos voy a qedar dura y n x tomarme una linea.,,false,,,,,,NEGATIVE
12129,@TyroneZudaire,https://pbs.twimg.com/profile_images/1616053575439851520/HAZHeeu5_normal.jpg,Que ganas de tomarme una linea de panqueque aleman,,false,,,,,,NEGATIVE
12130,@Luchonicolas3,https://pbs.twimg.com/profile_images/1252686194556776449/RhzlIDO4_normal.jpg,"Si yo contará la cantidad de cosas que me paso con el subte: bajarme del colectivo para tomarme una línea que no me llevaba, bajarme antes 😂",,false,,,,,,NEGATIVE
12131,@ccumulonimbus,https://pbs.twimg.com/profile_images/1527315669842178048/wCdci2tz_normal.jpg,"Todo por tomarme una línea que enmi vida me tome, esto me pasa por traicionera",,false,,,,,,NEGATIVE
12132,@camicamila42,https://pbs.twimg.com/profile_images/1219265130590023680/IpBAMcv7_normal.jpg,'me tendria que fumar un porro y tomarme una linea a ver si se me pasa' . Mi mamá queriendo que se le vaya el dolor de pierna jajaja -,,false,,,,,,NEGATIVE
12133,@PauliSanchez12,https://pbs.twimg.com/profile_images/1695995373595066368/nnkA6RE2_normal.jpg,"Estoy pensando seriamente en inyectarme cafe, o tomarme una linea para no dormirme. Me mata el sueñooo 😖",,false,,,,,,NEGATIVE
12134,@MajoProsis,https://pbs.twimg.com/profile_images/1368279241905868808/afwYamld_normal.jpg,Yo tengo miedo de tomarme una linea de colé que no es la de siempre y hay nenes de máx 8 a los que van solos a todos lados.  #Fraca,,false,,,,,,NEGATIVE
12135,@AguusRau,https://pbs.twimg.com/profile_images/1492560065429180418/W78RH6Vs_normal.jpg,"""quiero tomarme una línea entre tus tetas"" me parece un piropazo",,false,,,,,,NEGATIVE
12136,@SharitoCastro2,https://pbs.twimg.com/profile_images/1364356238990008320/MfA4SXj-_normal.jpg,Que ganas de tomarme una línea de merca y que se me pase todo.ahrre,,false,,,,,,NEGATIVE
12137,@g36660,https://pbs.twimg.com/profile_images/1826979708057141248/cmpYdKCl_normal.jpg,Tengo 4 horas y media para dormir y estoy acá pelotudeando mañana voy a tener que tomarme una línea de café instantáneo y hacerme buches con Red Bull,,false,,,,,,NEGATIVE
12138,@rrenataromero,https://pbs.twimg.com/profile_images/1838391017851985921/NbuwnSCe_normal.jpg,que linda foto dsps de tomarme una linea ahre,,false,,,,,,NEGATIVE
12139,@Lisandro_prlt,https://pbs.twimg.com/profile_images/1858203941139329024/TkUCE39y_normal.jpg,"""Bueno, me voy a ver una peli y tomarme una linea"" JAJAJAJAJAJAJAJAJAJAJA Dio' que chabona",,false,,,,,,NEGATIVE
