corpus,variant,model,accuracy,precision,recall,f1
pre-filtered-corpus,standard,logistic_regression,0.8044,0.8053,0.8044,0.8043
pre-filtered-corpus,standard,naive_bayes,0.78,0.7812,0.78,0.7798
pre-filtered-corpus,standard,svm,0.8044,0.805,0.8044,0.8043
pre-filtered-corpus,standard,random_forest,0.76,0.7603,0.76,0.7599
pre-filtered-corpus,standard,ffn,0.7644,0.7655,0.7644,0.7642
pre-filtered-corpus,standard,cnn,0.8044,0.8165,0.8044,0.8026
pre-filtered-corpus,standard,rnn,0.7844,0.7874,0.7844,0.7839
pre-filtered-corpus,standard,bert_base,0.8422,0.8452,0.8422,0.8419
pre-filtered-corpus,irony,logistic_regression,0.8,0.8009,0.8,0.7999
pre-filtered-corpus,irony,naive_bayes,0.7756,0.7765,0.7756,0.7754
pre-filtered-corpus,irony,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,irony,random_forest,0.7622,0.7626,0.7622,0.7621
pre-filtered-corpus,irony,ffn,0.7711,0.7745,0.7711,0.7704
pre-filtered-corpus,irony,cnn,0.8133,0.8236,0.8133,0.8118
pre-filtered-corpus,irony,rnn,0.7889,0.7899,0.7889,0.7887
pre-filtered-corpus,irony,bert_base,0.84,0.8427,0.84,0.8397
pre-filtered-corpus,obfuscated,logistic_regression,0.8044,0.8053,0.8044,0.8043
pre-filtered-corpus,obfuscated,naive_bayes,0.78,0.7809,0.78,0.7798
pre-filtered-corpus,obfuscated,svm,0.8,0.8,0.8,0.8
pre-filtered-corpus,obfuscated,random_forest,0.7622,0.7631,0.7622,0.762
pre-filtered-corpus,obfuscated,ffn,0.7511,0.7593,0.7511,0.7491
pre-filtered-corpus,obfuscated,cnn,0.7844,0.7874,0.7844,0.7839
pre-filtered-corpus,obfuscated,rnn,0.76,0.7621,0.76,0.7595
pre-filtered-corpus,obfuscated,bert_base,0.8356,0.8377,0.8356,0.8353
raw-corpus,standard,logistic_regression,0.7867,0.7889,0.7867,0.7862
raw-corpus,standard,naive_bayes,0.7889,0.7889,0.7889,0.7889
raw-corpus,standard,svm,0.8022,0.8044,0.8022,0.8019
raw-corpus,standard,random_forest,0.7556,0.7557,0.7556,0.7555
raw-corpus,standard,ffn,0.7289,0.7315,0.7289,0.7281
raw-corpus,standard,cnn,0.7822,0.7867,0.7822,0.7814
raw-corpus,standard,rnn,0.7756,0.7756,0.7756,0.7756
raw-corpus,standard,bert_base,0.8133,0.8142,0.8133,0.8132
raw-corpus,irony,logistic_regression,0.7867,0.7885,0.7867,0.7863
raw-corpus,irony,naive_bayes,0.7867,0.7867,0.7867,0.7867
raw-corpus,irony,svm,0.8067,0.8089,0.8067,0.8063
raw-corpus,irony,random_forest,0.7733,0.7741,0.7733,0.7732
raw-corpus,irony,ffn,0.74,0.74,0.74,0.74
raw-corpus,irony,cnn,0.7911,0.7979,0.7911,0.7899
raw-corpus,irony,rnn,0.7556,0.7596,0.7556,0.7546
raw-corpus,irony,bert_base,0.8356,0.8373,0.8356,0.8353
raw-corpus,obfuscated,logistic_regression,0.7844,0.7865,0.7844,0.7841
raw-corpus,obfuscated,naive_bayes,0.78,0.78,0.78,0.78
raw-corpus,obfuscated,svm,0.8,0.8024,0.8,0.7996
raw-corpus,obfuscated,random_forest,0.7489,0.7503,0.7489,0.7485
raw-corpus,obfuscated,ffn,0.7267,0.727,0.7267,0.7266
raw-corpus,obfuscated,cnn,0.8111,0.8116,0.8111,0.811
raw-corpus,obfuscated,rnn,0.7889,0.7931,0.7889,0.7881
raw-corpus,obfuscated,bert_base,0.8222,0.8239,0.8222,0.822
