corpus,variant,model,accuracy,precision,recall,f1
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,standard,random_forest,0.7711,0.7711,0.7711,0.7711
pre-filtered-corpus,standard,ffn,0.7578,0.7584,0.7578,0.7576
pre-filtered-corpus,standard,cnn,0.7956,0.7956,0.7956,0.7955
pre-filtered-corpus,standard,rnn,0.7467,0.75,0.7467,0.7458
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911
pre-filtered-corpus,irony,random_forest,0.76,0.7613,0.76,0.7597
pre-filtered-corpus,irony,ffn,0.7667,0.7679,0.7667,0.7664
pre-filtered-corpus,irony,cnn,0.7844,0.7886,0.7844,0.7837
pre-filtered-corpus,irony,rnn,0.7578,0.7642,0.7578,0.7563
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,obfuscated,random_forest,0.7644,0.7655,0.7644,0.7642
pre-filtered-corpus,obfuscated,ffn,0.7467,0.7518,0.7467,0.7454
pre-filtered-corpus,obfuscated,cnn,0.7733,0.7875,0.7733,0.7705
pre-filtered-corpus,obfuscated,rnn,0.7467,0.7474,0.7467,0.7465
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8
raw-corpus,standard,random_forest,0.76,0.7607,0.76,0.7598
raw-corpus,standard,ffn,0.76,0.7685,0.76,0.7581
raw-corpus,standard,cnn,0.7978,0.7995,0.7978,0.7975
raw-corpus,standard,rnn,0.7644,0.775,0.7644,0.7622
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8
raw-corpus,irony,random_forest,0.7578,0.7589,0.7578,0.7575
raw-corpus,irony,ffn,0.7622,0.7641,0.7622,0.7618
raw-corpus,irony,cnn,0.8022,0.8173,0.8022,0.7998
raw-corpus,irony,rnn,0.7733,0.7734,0.7733,0.7733
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022
raw-corpus,obfuscated,random_forest,0.7711,0.7715,0.7711,0.771
raw-corpus,obfuscated,ffn,0.7467,0.7479,0.7467,0.7463
raw-corpus,obfuscated,cnn,0.8022,0.8044,0.8022,0.8019
raw-corpus,obfuscated,rnn,0.7644,0.775,0.7644,0.7622
