corpus,variant,model,accuracy,precision,recall,f1,seed
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021,42
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732,42
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977,42
pre-filtered-corpus,standard,random_forest,0.7667,0.7667,0.7667,0.7667,42
pre-filtered-corpus,standard,ffn,0.7289,0.7298,0.7289,0.7286,42
pre-filtered-corpus,standard,cnn,0.7733,0.7747,0.7733,0.773,42
pre-filtered-corpus,standard,rnn,0.7667,0.7671,0.7667,0.7666,42
pre-filtered-corpus,standard,bert_base,0.86,0.8601,0.86,0.86,42
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043,42
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777,42
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911,42
pre-filtered-corpus,irony,random_forest,0.7911,0.7912,0.7911,0.7911,42
pre-filtered-corpus,irony,ffn,0.7667,0.7668,0.7667,0.7666,42
pre-filtered-corpus,irony,cnn,0.7933,0.794,0.7933,0.7932,42
pre-filtered-corpus,irony,rnn,0.7844,0.7851,0.7844,0.7843,42
pre-filtered-corpus,irony,bert_base,0.8533,0.8534,0.8533,0.8533,42
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887,42
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688,42
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977,42
pre-filtered-corpus,obfuscated,random_forest,0.7644,0.7652,0.7644,0.7643,42
pre-filtered-corpus,obfuscated,ffn,0.7578,0.7578,0.7578,0.7578,42
pre-filtered-corpus,obfuscated,cnn,0.7822,0.7828,0.7822,0.7821,42
pre-filtered-corpus,obfuscated,rnn,0.7511,0.7514,0.7511,0.751,42
pre-filtered-corpus,obfuscated,bert_base,0.8578,0.858,0.8578,0.8578,42
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066,42
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977,42
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8,42
raw-corpus,standard,random_forest,0.7444,0.745,0.7444,0.7443,42
raw-corpus,standard,ffn,0.78,0.7816,0.78,0.7797,42
raw-corpus,standard,cnn,0.7978,0.7999,0.7978,0.7974,42
raw-corpus,standard,rnn,0.7911,0.7951,0.7911,0.7904,42
raw-corpus,standard,bert_base,0.8556,0.8571,0.8556,0.8554,42
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065,42
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977,42
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8,42
raw-corpus,irony,random_forest,0.76,0.7602,0.76,0.76,42
raw-corpus,irony,ffn,0.7467,0.763,0.7467,0.7427,42
raw-corpus,irony,cnn,0.7933,0.795,0.7933,0.793,42
raw-corpus,irony,rnn,0.7756,0.7796,0.7756,0.7747,42
raw-corpus,irony,bert_base,0.8756,0.876,0.8756,0.8755,42
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177,42
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022,42
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022,42
raw-corpus,obfuscated,random_forest,0.7622,0.7637,0.7622,0.7619,42
raw-corpus,obfuscated,ffn,0.7778,0.778,0.7778,0.7777,42
raw-corpus,obfuscated,cnn,0.8,0.8001,0.8,0.8,42
raw-corpus,obfuscated,rnn,0.8022,0.8029,0.8022,0.8021,42
raw-corpus,obfuscated,bert_base,0.8778,0.878,0.8778,0.8778,42
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021,123
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732,123
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977,123
pre-filtered-corpus,standard,random_forest,0.7711,0.7711,0.7711,0.7711,123
pre-filtered-corpus,standard,ffn,0.7578,0.7584,0.7578,0.7576,123
pre-filtered-corpus,standard,cnn,0.7956,0.7956,0.7956,0.7955,123
pre-filtered-corpus,standard,rnn,0.7467,0.75,0.7467,0.7458,123
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043,123
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777,123
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911,123
pre-filtered-corpus,irony,random_forest,0.76,0.7613,0.76,0.7597,123
pre-filtered-corpus,irony,ffn,0.7667,0.7679,0.7667,0.7664,123
pre-filtered-corpus,irony,cnn,0.7844,0.7886,0.7844,0.7837,123
pre-filtered-corpus,irony,rnn,0.7578,0.7642,0.7578,0.7563,123
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887,123
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688,123
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977,123
pre-filtered-corpus,obfuscated,random_forest,0.7644,0.7655,0.7644,0.7642,123
pre-filtered-corpus,obfuscated,ffn,0.7467,0.7518,0.7467,0.7454,123
pre-filtered-corpus,obfuscated,cnn,0.7733,0.7875,0.7733,0.7705,123
pre-filtered-corpus,obfuscated,rnn,0.7467,0.7474,0.7467,0.7465,123
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066,123
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977,123
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8,123
raw-corpus,standard,random_forest,0.76,0.7607,0.76,0.7598,123
raw-corpus,standard,ffn,0.76,0.7685,0.76,0.7581,123
raw-corpus,standard,cnn,0.7978,0.7995,0.7978,0.7975,123
raw-corpus,standard,rnn,0.7644,0.775,0.7644,0.7622,123
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065,123
